rank,title,actors,publish_date,country,types,score,vote_count,avatar_url,detail_url
39,西力传,"['伍迪·艾伦', '米亚·法罗', '帕特里克·霍根', '马文恰特诺弗', '保罗·内文斯', 'Howard Erskine', 'George Hamlin', 'Ralph Bell', '理查德·怀廷', 'Edward McPhillips', '盖尔·汉森', '迈克尔·杰特', '皮特·麦克罗比', 'Sol Lomita', '玛丽·路易丝·威尔逊', 'Alice Beardsley', '葆拉·特鲁曼', 'Marianne Tatum', 'Michael Kell', '约翰·罗斯曼', 'Stephanie Farrow', '黛伯拉·拉什', 'Stanley Simmonds', 'Robert Berger', '雅尼娜·杰克逊', '约翰·多马尼安', '威利霍尔特', '苏珊·桑塔格', '欧文·豪', '索尔·贝娄', 'Bricktop', 'Bruno Bettelheim', 'John Morton Blum', 'Ellen Garrison', 'Theodore R. Smits', 'Kuno Sponholz', '艾德·赫利希', 'Dwight Weist', 'Gordon Gould', 'Wendell Craig', '马克斯·阿曼', 'Arthur Anderson', '乔瑟芬·贝克', '迈克尔·布莱文斯', '范妮·布莱斯', 'Wilhelm Brückner', '詹姆斯·卡格尼', '阿尔·卡彭', '查理·卓别林', '约翰·卡尔文·柯立芝', '玛丽恩·戴维斯', '朵乐丝·德里奥', 'Sepp Dietrich', '乔·狄马乔', '玛丽·杜丝勒', 'F·司各特·菲茨杰拉德', 'Lou Gehrig', '约瑟夫·戈培尔', ""Harold 'Red' Grange"", '赫尔曼·戈林', 'William Randolph Hearst', '鲁道夫·赫斯', 'Bobby Jones', 'Elizabeth Kaitan', 'Robert Ley', '查尔斯·A·林德伯格', '卡洛·朗白', '阿道夫·门吉欧', '汤姆·米克斯', '梅·奎斯特尔']",1983-07-15,['美国'],"['喜剧', '奇幻']",9.0,13391,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2119299252.webp,https://movie.douban.com/subject/1293846/
40,欢乐树的朋友们：第一滴血,"['沃伦·格拉夫', 'Liz Stuart', 'Rhode Montijo', '凯恩·纳瓦罗']",2002-02-18,"['美国', '英国']","['动画', '喜剧']",9.0,7332,https://img1.doubanio.com/view/subject/l/public/s1806727.jpg,https://movie.douban.com/subject/1393470/
41,木更津猫眼 世界系列,"['冈田准一', '樱井翔', '冈田义德', '佐藤隆太', '塚本高史', '酒井若菜', '森下爱子', '雷德吉田', '阿部隆史', '三宅弘城', '桐谷健太', '森下能幸', '渡边一计', '高田纯次', '小日向文世', '药师丸博子', '田岛大辅', '栗山千明', '山口智充', '古田新太', '平岩纸']",2006-10-28,['日本'],"['喜剧', '剧情']",9.0,3134,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p764157116.webp,https://movie.douban.com/subject/1793394/
42,阿德曼动画精选：超级无敌掌门狗,[],1996-06-14,['英国'],"['喜剧', '动画']",9.0,2831,https://img3.doubanio.com/view/subject/l/public/s1480000.jpg,https://movie.douban.com/subject/1294132/
43,小不列颠：现场版,"['大卫·威廉姆斯', '马特·卢卡斯', '汤姆·贝克', '安东尼·海德', 'Paul Putner']",2006-11-13,['英国'],['喜剧'],9.0,2589,https://img1.doubanio.com/view/subject/l/public/s2752947.jpg,https://movie.douban.com/subject/1957937/
44,日本之形,"['齐木茂', '山咲千里', '片桐仁', '小林贤太郎']",2007-02-10,['日本'],['喜剧'],9.0,1606,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558662745.webp,https://movie.douban.com/subject/2085511/
45,绿皮书,"['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫', '迈克·哈顿', 'P·J·伯恩', '乔·柯蒂斯', '玛姬·尼克松', '冯·刘易斯', '乔恩·索特兰', '唐·斯达克', '安东尼·曼加诺', '保罗·斯隆', '珍娜·劳伦索', '肯尼斯·以色列', '伊克博·塞巴', '尼克·瓦莱隆加', '大卫·安', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·巴特斯·布拉德福德', '格拉伦·布莱恩特·班克斯', '汤姆·维图', '夏恩·帕特洛', '丹尼斯·W·霍尔', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', '乔恩·迈克尔·戴维斯', '布莱恩·库瑞', '托尼亚·马尔多纳多', '加文·莱尔·弗雷', '奎恩·达菲', '哈里森·斯通', '比利·布里德', '莱斯利·卡斯泰', '克雷格·迪弗朗西亚', '托尼·查普曼·斯蒂尔', '伊桑·艾哈特', '詹姆斯·W·埃弗莫尔', 'Frank Vallelonga']",2019-03-01,['美国'],"['剧情', '喜剧', '传记']",8.9,1013872,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.webp,https://movie.douban.com/subject/27060077/
46,7号房的礼物,"['柳承龙', '朴信惠', '郑镇荣', '金正泰', '吴达洙', '朴元尚', '郑满植', '葛素媛', '卢康民', '吴昌庆', '赵德贤', '全宪泰', '崔录运', '金基天', ' 李柱灿', '吕茂英 ', '郑熙泰', '韩成勇', '赵在允', '郑涵妃', '尹善宇']",2013-01-23,['韩国'],"['剧情', '喜剧', '家庭']",8.9,347292,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.webp,https://movie.douban.com/subject/10777687/
47,玛丽和马克思,"['托妮·科莱特', '菲利普·塞默·霍夫曼', '巴瑞·哈姆弗莱斯', '艾瑞克·巴纳', '贝塔尼·维特莫尔', '蕾妮·盖耶', '伊恩·莫利·梅尔德伦', '朱莉·福塞斯', '约翰·弗劳思', '克里斯托弗·马西', '卡罗琳·莎士比亚-艾伦', '琳恩·史密斯', 'Michael Ienna']",2009-01-15,['澳大利亚'],"['剧情', '喜剧', '动画']",8.9,322547,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2162822165.webp,https://movie.douban.com/subject/3072124/
48,喜宴,"['赵文瑄', '郎雄', '归亚蕾', '金素梅', '米切尔·利希藤斯坦', '杨元提', '李淳', '李安', '迈克尔·加斯顿', '许永德', '汉娜·沙利文', '姚培德']",1993-08-04,"['中国台湾', '美国']","['剧情', '喜剧', '爱情', '同性', '家庭']",8.9,231121,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173713676.webp,https://movie.douban.com/subject/1303037/
49,虎口脱险,"['路易·德·菲奈斯', '布尔维尔', '克劳迪奥·布鲁克', '安德丽·帕里西', '科莱特·布罗塞', '迈克·马歇尔', '玛丽·马凯', '皮埃尔·贝尔坦', '本诺·施特岑巴赫', '玛丽·杜布瓦', '特里-托马斯', '西戈德·拉普', '赖因哈德·科尔德霍夫', '赫尔穆特·施奈德', '保罗·普雷博伊斯特', '汉斯·迈尔', '居伊·格罗索', '米歇尔·莫多', '彼得·雅各布', '吕迪·勒努瓦', '诺埃尔·达扎尔', '皮埃尔·鲁塞尔', '皮埃尔·巴斯蒂安', '雅克·萨布隆', '玛格·阿夫里尔', '雅克·博杜因', '加布里埃尔·戈班', '保罗·梅塞', '亨利·热内斯', '严崇德', '尚华', '童自荣', '于鼎']",1966-12-08,"['法国', '英国']","['喜剧', '战争']",8.9,163200,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.webp,https://movie.douban.com/subject/1296909/
50,东京教父,"['江守彻', '梅垣义明', '冈本绫', '饭塚昭三', '加藤精三', '石丸博也', '槐柳二', '屋良有作', '寺濑今日子', '能登麻美子', '大塚明夫', '小山力也', '宇垣秀成', '小形满', '芝原智矢子', '竹口安芸子', '伊藤和晃', '古田信幸', '汤屋敦子', '堀川仁', '风间勇刀', '最上嗣生', '园部好德', '川濑晶子', '柴田理惠', '犬山犬子', '山寺宏一', '柚木凉香', '进藤尚美', '川原庆久', '麻生智久', '铃森勘司', '金田朋子', '藤原启治', '兴梠里美']",2003-11-08,['日本'],"['剧情', '喜剧', '动画']",8.9,92082,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.webp,https://movie.douban.com/subject/1310177/
51,心理游戏,"['今田耕司', '藤井隆', '山口智充', '西凛太郎', '布鲁斯·洛克']",2004-08-07,['日本'],"['动画', '冒险', '喜剧', '悬疑']",8.9,25167,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453762724.webp,https://movie.douban.com/subject/1477916/
52,玉女风流,"['詹姆斯·卡格尼', '霍斯特·布赫霍尔茨', '帕梅拉·蒂芬', '艾琳·弗朗西斯', '霍华德·圣约翰', 'Hanns Lothar', 'Leon Askin', '劳夫·沃尔特', '卡尔·莱芬', '休伯特 · 冯 · 麦瑞肯', 'Peter Capell', 'Til Kiwe', 'Henning Schlüter', 'Karl Ludwig Lindt', '西戈·鲁曼', 'Helmut Schmid', 'Rose Renée Roth', '莱德·巴顿斯', 'Jaspar von Oertzen', 'Loïs Bolton', 'Werner Hessenland', 'Siegfrid Dornbusch', '莉泽洛特·普尔韦尔', 'Friedrich Hollaender', 'Max Buchsbaum', 'Otto Friebel', 'Paul Bös']",1961-12-15,['美国'],['喜剧'],8.9,10299,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1082838488.webp,https://movie.douban.com/subject/1298241/
53,七次机会,"['巴斯特·基顿', 'T.罗伊·巴尔内斯', '辛兹·爱德华', '露丝·德怀尔', '弗朗西丝·雷蒙德', '朱尔斯·考尔斯', '琪恩·亚瑟', 'Lori Bara', 'Bartine Burkett', 'Rosalind Byrne', 'Louise Carver', 'Doris Deane', 'Hazel Deane', 'Eugenia Gilbert', 'Rosa Gore', 'Marion Harlan', '让·C·阿韦', 'Judy King', '凯特·普莱斯', 'Julian Rivero', '康斯坦斯·塔尔梅奇', 'S.D. Wilcox']",1925-03-11,['美国'],"['喜剧', '爱情']",8.9,6160,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2321431402.webp,https://movie.douban.com/subject/1300352/
54,乱马1/2,"['山口胜平', '林原惠美', '日高法子', '子安武人', '井上和彦', '山寺宏一', '高山南', '井上喜久子', '绪方贤一', '佐久间玲', '铃置洋孝', '三矢雄二', '平松晶子', '辻谷耕史', '岛津冴子', '大林隆介', '种田文子']",1989,['日本'],"['动画', '喜剧', '奇幻', '爱情']",8.9,6143,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2257337165.webp,https://movie.douban.com/subject/1974733/
55,魔法阿妈,"['文英', '许杰辉', '丁力']",1998-04-03,['中国台湾'],"['喜剧', '动画', '奇幻']",8.9,5842,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2464404648.webp,https://movie.douban.com/subject/1299227/
56,我出生了，但……,"['斋藤达雄', '青木富夫', '菅原秀雄', '坂本武', '笠智众', '叶山正雄', '早见照代', '吉川满子']",1932-06-03,['日本'],"['喜剧', '剧情']",8.9,3840,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1964113703.webp,https://movie.douban.com/subject/1299360/
57,阿曼动画之超级无敌掌门狗系列1,[],1995-06-15,['英国'],"['喜剧', '动画']",8.9,2888,https://img3.doubanio.com/view/subject/l/public/s1445900.jpg,https://movie.douban.com/subject/1295529/
58,让子弹飞,"['姜文', '葛优', '周润发', '刘嘉玲', '陈坤', '张默', '姜武', '周韵', '廖凡', '姚橹', '邵兵', '苗圃', '冯小刚', '胡军', '马珂', '白冰', '杜奕衡', '李静', '胡明', '危笑', '杨奇雨', '赵铭', '姜洪齐', '岳红', '宣晓鸣', '吴昔果', '沙瑀', '陈磊', '文祥']",2010-12-16,"['中国大陆', '中国香港']","['剧情', '喜剧', '动作', '西部']",8.8,1107349,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.webp,https://movie.douban.com/subject/3742360/
59,布达佩斯大饭店,"['拉尔夫·费因斯', '托尼·雷沃罗利', '艾德里安·布洛迪', '威廉·达福', '裘德·洛', '爱德华·诺顿', '西尔莎·罗南', '蒂尔达·斯文顿', '比尔·默瑞', '蕾雅·赛杜', '欧文·威尔逊', '詹森·舒瓦兹曼', '马修·阿马立克', 'F·默里·亚伯拉罕', '汤姆·威尔金森', '杰夫·高布伦', '哈威·凯特尔', '弗洛里安·卢卡斯', '吉塞尔达·沃洛迪', '卡尔·马克维斯', '鲍勃·巴拉班', '费舍·史蒂芬斯', '华莱士·沃洛达斯基', '瓦里丝·阿卢瓦利亚', '丽萨·克鲁泽', '野村训市', '吴永庆', '拉里·派恩', '尼尔·哈夫', '汉勒斯·魏格纳', '加布里埃尔·拉什', '卢卡斯·赫奇斯']",2014-02-06,"['美国', '德国', '英国']","['剧情', '喜剧', '冒险']",8.8,605009,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.webp,https://movie.douban.com/subject/11525673/
60,低俗小说,"['约翰·特拉沃尔塔', '乌玛·瑟曼', '阿曼达·普拉莫', '蒂姆·罗斯', '塞缪尔·杰克逊', '菲尔·拉马', '布鲁斯·威利斯', '弗兰克·威利', '布尔·斯蒂尔斯', '文·瑞姆斯', '劳拉·拉芙蕾丝', '保罗·考尔德伦', '布罗娜·加拉赫', '罗姗娜·阿奎特', '埃里克·斯托尔兹', '玛丽亚·德·梅黛洛', '昆汀·塔伦蒂诺', '史蒂夫·布西密', '克里斯托弗·沃肯', '哈威·凯特尔', '彼得·格林纳', '安琪拉·琼斯', '阿尼·萨瓦', 'Stephen Hibbert']",1994-05-12,['美国'],"['剧情', '喜剧', '犯罪']",8.8,579329,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.webp,https://movie.douban.com/subject/1291832/
61,阳光姐妹淘,"['沈恩京', '闵孝琳', '姜素拉', '南宝拉', '陈熙琼', '金时厚', '柳好贞', '朴真珠', '金甫美', '千禹熙', '李璟荣', '金叡园', '金玺碧', '金元海', '金惠玉', '李俊赫', '金宣敬', '荷承里', '高俊', '成志娄', '高素熙', '杨喜京', '崔秀林', '柳惠琳', '洪真熙', '朴赫民', '楊朱虎']",2011-05-04,['韩国'],"['剧情', '喜剧']",8.8,440075,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.webp,https://movie.douban.com/subject/4917726/
62,幸福终点站,"['汤姆·汉克斯', '凯瑟琳·泽塔-琼斯', '斯坦利·图齐', '齐·麦克布赖德', '迭戈·卢纳', '巴里·沙巴卡·亨利', '库玛·帕拉纳', '佐伊·索尔达娜', '埃迪·琼斯', '祖德·塞克利拉', '科瑞·雷诺兹', '古列雷莫·迪亚兹', '里尼·贝尔', '瓦列里·尼古拉耶夫', '迈克尔·诺里', 'Bob Morrisey', '萨沙·斯皮尔伯格', '苏珊·索洛米', '卡尔利斯·布克', 'Stephon Fuller', '丹·芬纳蒂', 'Lydia Blanco', '肯尼斯·崔', '卡斯·安瓦尔', '康拉德·皮拉', '杜桑恩·杜基齐', '马克·伊瓦涅', 'Benny Golson', '斯科特·安第斯', '罗伯特·科瓦吕比亚', 'Dilva Henry', '卡尔艾拉切', 'Hayati Akbas', '艾力克斯·伯恩斯', '埃莱娜·卡多纳', 'Dan Chase', '查得·R·戴维斯', 'Antonella Elia', 'Michael Eliopoulos', 'Marston Fobbs', 'Riad Galayini', '杰拉德·加纳', 'Justin Rodgers Hall', 'Mohammed Hassan', 'Amber Havens', 'Ksenia Jarova', 'Barry Julien', 'Svilena Kidess', 'Zuzana Monroe', '艾丽西亚·奥奇瑟', '本杰明·奥切恩格', '梅尔·罗德里格斯', '阿尼·萨瓦']",2005-01-14,['美国'],"['喜剧', '剧情', '爱情']",8.8,369154,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.webp,https://movie.douban.com/subject/1292274/
63,菊次郎的夏天,"['北野武', '关口雄介', '岸本加世子', '吉行和子', '细川典江', '大家由祐子', '磨赤儿', 'グレート義太夫', '井手博士', '今村鼠', '兼子二郎', '田中要次', '小岛可奈子', '诹访太朗']",1999-05-20,['日本'],"['剧情', '喜剧']",8.8,346856,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p751835224.webp,https://movie.douban.com/subject/1293359/
64,玩具总动员3,"['汤姆·汉克斯', '蒂姆·艾伦', '琼·库萨克', '尼德·巴蒂', '唐·里克斯', '迈克尔·基顿', '裘蒂·班森', '童自荣', '罗里·艾伦', '乌比·戈德堡', '巴德·乐凯', '约翰·拉岑贝格', '伊瑞克·冯·迪滕', '泰迪·牛顿', '户田惠子', '李·厄米', '贝雅翠丝·米勒', '埃米莉·哈恩', '齐凡克·塔里图格', '理查德·坎德', '约翰·莫里斯', '雪莉·琳恩', '杰夫·格尔林', '古明华', '劳里·梅特卡夫', '提摩西·道尔顿', '邦尼·亨特', '华莱士·肖恩', '李·昂克里奇', '爱丝黛儿·哈里斯', '布莱克·克拉克', '杰克·安杰尔', '克里斯汀·沙尔', '玻伦·萨特', '唐泽寿明']",2010-06-16,['美国'],"['喜剧', '动画', '奇幻', '冒险']",8.8,340785,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.webp,https://movie.douban.com/subject/1858711/
65,荒蛮故事,"['达里奥·格兰迪内蒂', '玛丽娅·玛努尔', '莫妮卡·比利亚', '丽塔·科尔泰塞', '胡丽叶塔·泽尔贝伯格', '凯撒·博尔东', '莱昂纳多·斯巴拉格利亚', '沃尔特·多纳多', '里卡多·达林', '南希·杜普拉', '奥斯卡·马丁内兹', '玛莉亚·奥内托', '奥斯马·努涅斯', '赫尔曼·德·席尔瓦', '艾丽卡·里瓦斯', '地亚哥·詹蒂莱', '玛格丽塔·莫菲诺', '保拉 ·格林斯潘']",2014-05-17,"['阿根廷', '西班牙']","['剧情', '喜剧', '犯罪']",8.8,281426,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2231250054.webp,https://movie.douban.com/subject/24750126/
66,纵横四海,"['周润发', '张国荣', '钟楚红', '朱江', '曾江', '胡枫', '唐宁', '邓一君', '冯雪瑞', '韩俊', '胡大为']",1991-02-02,['中国香港'],"['剧情', '喜剧', '动作', '犯罪']",8.8,274831,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2272146906.webp,https://movie.douban.com/subject/1295409/
67,芝加哥,"['蕾妮·齐薇格', '凯瑟琳·泽塔-琼斯', '理查·基尔', '奎恩·拉提法', '约翰·C·赖利', '刘玉玲', '泰雅·迪格斯', '克里斯汀·芭伦斯基', '多米尼克·韦斯特', '杰恩·伊斯特伍德', '苏珊·米斯纳尔', '乔伊皮奇', '叶卡捷琳娜切特希尔卡诺娃']",2002-12-27,"['美国', '德国']","['喜剧', '歌舞', '犯罪']",8.8,108467,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2454020352.webp,https://movie.douban.com/subject/1307697/
68,坠入,"['凯婷卡·安塔鲁', '贾斯蒂恩·瓦戴尔', '李·佩斯', 'Kim Uylenbroek', 'Aiden Lithgow', '肖恩·吉尔德', 'Ronald France', 'Andrew Roussouw', 'Michael Huff', '格兰特·斯旺比', '埃米尔奥斯迪那', '罗宾·史密斯', 'Jeetu Verma', '里奥·比尔', 'Marcus Wesley', 'Camilla Waldman', '大卫·芬奇', '丹尼尔·卡尔塔吉罗内', '乔恩·凯曼', '朱利安·布里奇', 'Elvira Deatcu', '斯派克·琼斯']",2006-09-09,"['美国', '南非', '印度']","['剧情', '喜剧', '奇幻', '冒险']",8.8,76013,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p568541514.webp,https://movie.douban.com/subject/1890572/
69,再见列宁,"['丹尼尔·布鲁尔', '卡特琳·萨斯', '丘尔潘·哈马托娃', '弗洛里安·卢卡斯', '亚历山大·拜尔', '迈克尔·根帕', '鲁迪·沃勒尔', '克劳斯·奥根塔勒', '吉多·布赫瓦尔德', '米哈伊尔·戈尔巴乔夫', 'Hanna Schwamborn', '于尔根·福格尔', '阿尔恩特·施韦林·索瑞', '汉斯·迪特里希·根舍', '布尔格哈特·克劳斯纳', '弗里茨罗斯', '玛丽亚·西蒙', '门南·雅博', '洛塔尔·马特乌斯']",2003-02-09,['德国'],"['剧情', '喜剧']",8.8,65904,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p478546260.webp,https://movie.douban.com/subject/1292055/
70,共同警备区,"['李英爱', '李秉宪', '宋康昊', '金太祐', '申河均', 'Herbert Ulrich', '李瀚伟', '纪柱峰', '金太贤', '李代延', '林一圭', '金明秀', '權南熙', 'Myoeng-su Kim', '朴胜裴']",2000-09-09,['韩国'],"['剧情', '喜剧', '战争', '悬疑']",8.8,61939,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1603485241.webp,https://movie.douban.com/subject/1306664/
71,奇爱博士,"['彼得·塞勒斯', '乔治·C·斯科特', '斯特林·海登', '詹姆斯·厄尔·琼斯', '格伦·贝克', '特蕾西·里德', '谢恩·里默', '彼得·布尔', '斯利姆·佩金斯']",1964-01-29,"['美国', '英国']","['喜剧', '剧情']",8.8,61464,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p835946292.webp,https://movie.douban.com/subject/1322848/
72,上帝也疯狂2,"['历苏', 'Lourens Swanepoel', 'Pierre van Pletzen', 'Erick Bowen', 'Treasure Tshabalala', 'Nadies', 'Eiros', 'Hans Strydom', 'Lena Farugia', 'Richard Loring']",1989-07-26,"['博茨瓦纳', '南非', '美国']",['喜剧'],8.8,48466,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1306760079.webp,https://movie.douban.com/subject/1294490/
73,我的邻居山田君,"['朝丘雪路', '益冈彻', '矢野显子', '宇野直美']",1999-07-17,['日本'],"['动画', '喜剧', '家庭']",8.8,43917,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p462372509.webp,https://movie.douban.com/subject/1417728/
74,热情如火,"['玛丽莲·梦露', '托尼·柯蒂斯', '杰克·莱蒙', '乔治·拉夫特', '帕特·奥布莱恩', '乔·E·布朗', '内赫米亚·佩尔索夫', '琼·肖丽', '乔治·E·斯通', '戴夫·巴里', '迈克·马祖尔凯', '哈里·威尔逊', '贝弗利·威尔斯', '芭芭拉·德鲁', '小爱德华·G·罗宾逊']",1959-03-29,['美国'],['喜剧'],8.8,35871,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p860250155.webp,https://movie.douban.com/subject/1292574/
75,与玛格丽特的午后,"['热拉尔·德帕迪约', '吉赛勒·卡扎德絮', '帕特里克·伯利奇', '弗朗索瓦-格扎维埃·德梅松', '莫拉娜', '让-弗朗索瓦·斯泰弗南', '克莱尔·莫里耶', '索菲·吉耶曼', '梅兰妮·贝尔内尔', '安妮吕丢尔勒克', '布鲁诺里奇', '莱耶·塞伦', '马蒂厄达昂']",2010-06-02,['法国'],['喜剧'],8.8,26129,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p855075428.webp,https://movie.douban.com/subject/3796613/
76,办公室的故事,"['安德烈·米亚赫科夫', '阿丽萨·弗雷因德利赫', '斯维特拉娜·涅莫利亚耶娃', '奥列格·巴希拉什维利', '莉亚·阿赫扎科娃', '内莉·普绍娜娅', '玛丽亚·维诺格拉多娃', '彼得·谢尔巴科夫', 'Zoya Isayeva', '格奥尔基·布尔科夫', '柳德米拉·伊万诺娃']",1977-02-03,['苏联'],"['喜剧', '爱情']",8.8,15957,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2216166945.webp,https://movie.douban.com/subject/1302205/
77,邮差,"['菲利普·努瓦雷', '马西莫·特洛伊西', '玛丽亚·格拉齐亚·库奇诺塔', '雷纳托·斯卡帕', '琳达·莫雷蒂', 'Mariano Rigillo', '安娜·博纳奥图']",1994-09-01,"['意大利', '法国', '比利时']","['传记', '喜剧', '剧情', '爱情']",8.8,14254,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2537507687.webp,https://movie.douban.com/subject/1298468/
78,黄阿丽：小眼镜蛇,['黄阿丽'],2016-05-05,['美国'],['喜剧'],8.8,9980,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2345580382.webp,https://movie.douban.com/subject/26772763/
79,阿玛柯德,"['普佩拉·玛奇奥', '阿尔曼多·布兰恰', '玛加丽·诺尔', '奇乔·因格拉西亚', '南多·奥尔费伊', '布鲁诺·扎宁', '吉安菲利波·卡尔卡诺', '约瑟琳·坦齐利', '玛利亚·安东涅塔·贝卢齐', 'Antonino Faa Di Bruno', 'Aristide Caporale', '阿尔瓦罗·维塔利', 'Donatella Gambini', 'Dina Adorni', '保罗·巴罗尼', '布鲁诺·贝托奇', 'Marcello Bonini Olas', 'Dante Cleri', 'Mario Del Vago', '弗朗西斯科·马塞利', 'Eros Ramazzotti', 'Fides Stagni']",1973-12-18,"['意大利', '法国']","['剧情', '喜剧']",8.8,8564,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p771183436.webp,https://movie.douban.com/subject/1298672/
80,黄色潜水艇,"['保罗·安吉利斯', '约翰·克莱夫', '迪克·埃默里', '杰弗里·休斯', '兰斯·珀西瓦尔']",1968-07-17,"['英国', '美国']","['喜剧', '动画', '奇幻', '冒险', '音乐']",8.8,8463,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1629215272.webp,https://movie.douban.com/subject/1305605/
81,安全至下,"['哈罗德·劳埃德', '米尔德丽德·戴维斯', '比尔·斯特罗瑟', '诺厄·扬', '韦斯科特·克拉克', 'Roy Brooks', 'Mickey Daniels', 'Richard Daniels', 'Ray Erlenborn', 'William Gillespie', 'Helen Gilmore', 'Wallace Howe', '杰姆斯-凯利', 'Gus Leonard', 'Sam Lufkin', 'Marie Mosquini', '弗雷德·C·纽迈尔', 'Charles Stevenson', 'Anna Townsend']",1923-04-01,['美国'],"['喜剧', '爱情', '惊悚']",8.8,6342,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1920360311.webp,https://movie.douban.com/subject/1303388/
82,从军记,"['查理·卓别林', '希德·卓别林', '艾德娜·珀薇安丝', '洛亚尔·安德伍德', '亨利·伯格曼', '汤姆·威尔森', '艾伯特·奥斯汀', '杰克·威尔逊']",1918-10-20,['美国'],"['喜剧', '战争']",8.8,4923,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p905332012.webp,https://movie.douban.com/subject/1292897/
83,舞台春秋,"['查理·卓别林', '巴斯特·基顿', '克莱尔·布鲁姆', '奈杰尔·布鲁斯', '悉尼·卓别林', '杰拉丁·卓别林', '诺曼·劳埃德']",1952-10-16,['美国'],"['喜剧', '剧情', '音乐', '爱情']",8.8,3884,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2299155914.webp,https://movie.douban.com/subject/1296659/
84,小羊肖恩：美好时光,"['贾斯汀·弗莱彻', '约翰·斯帕克斯', '理查德·韦伯', '凯特·哈伯']",2010,['英国'],"['喜剧', '动画']",8.8,1767,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2271636103.webp,https://movie.douban.com/subject/4817020/
85,儿子,"['三国连太郎', '永濑正敏', '和久井映见', '原田美枝子', '田中隆三', '浅田美代子', '山口良一', '浅利香津代', '高峰凯希', '浜村淳', '梅津荣', '井上千蔵', '中本贤', '小仓一郎', '村田正雄', '松村达雄', '中村芽衣子', '音无美纪子', '奈良冈朋子', '佐藤B作', '碇矢长介', '田中邦卫']",1991-10-12,['日本'],"['剧情', '喜剧', '爱情', '家庭']",8.8,1577,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2153263566.webp,https://movie.douban.com/subject/1417545/
86,三毛学生意,"['于飞', '张雁', '范哈哈', '嫩娘', '刘侠声', '文彬彬']",1958,['中国大陆'],['喜剧'],8.8,1474,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2506341219.webp,https://movie.douban.com/subject/2357361/
87,寄生虫,"['宋康昊', '李善均', '赵汝贞', '崔宇植', '朴素丹', '李静恩', '张慧珍', '郑知晓', '朴明勋', '朴叙俊', '朴根祿', '郑贤俊', '朴孝新', '安德烈亚斯·弗龙克', '郑益汉', '李东勇', '李柱亨', '林艺恩']",2019-05-21,['韩国'],"['剧情', '喜剧']",8.7,907144,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.webp,https://movie.douban.com/subject/27010768/
