rank,title,actors,publish_date,country,types,score,vote_count,avatar_url,detail_url
13,疯狂动物城,"['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯', '邦尼·亨特', '唐·雷克', '汤米·钟', 'J·K·西蒙斯', '奥克塔维亚·斯宾瑟', '艾伦·图代克', '夏奇拉', '雷蒙德·S·佩尔西', '德拉·萨巴', '莫里斯·拉马奇', '菲尔·约翰斯顿', '约翰·迪·马吉欧', '凯蒂·洛斯', '吉塔·雷迪', '杰西·科尔蒂', '汤米·利斯特', '乔希·达拉斯', '瑞奇·摩尔', '凯斯·索西', '彼得·曼斯布里奇', '拜伦·霍华德', '杰拉德·布什', '马克·史密斯', '乔西·特立尼达', '约翰·拉维尔', '克里斯汀·贝尔', '吉尔·科德斯', '梅利莎·古德温', '季冠霖', '李楠', '容祖儿', '黄子华', '佟心竹', '蔡依林', '戴维德·迪格斯', '张震', '尼古拉斯·格斯特']",2016-03-04,['美国'],"['喜剧', '动画', '冒险']",9.2,1219597,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.webp,https://movie.douban.com/subject/25662329/
14,大话西游之大圣娶亲,"['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛', '莫文蔚', '罗家英', '刘镇伟', '陆树铭', '李健仁', '付博文', '胡立成', '金永钢', '吴珏瑾', '江约诚', '许敬义']",2014-10-24,"['中国香港', '中国大陆']","['喜剧', '爱情', '奇幻', '古装']",9.2,1027099,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.webp,https://movie.douban.com/subject/1292213/
15,触不可及,"['弗朗索瓦·克鲁塞', '奥玛·希', '安娜·勒尼', '奥德雷·弗勒罗', '托马·索利韦尔', '克洛蒂尔德·莫勒', '多萝特博里埃', '皮埃尔-罗兰·巴纳隆', '萨丽马特·卡马特', '艾米丽·卡恩', '阿尔芭·贝露琪', '海迪·布奇纳法']",2011-11-02,['法国'],"['剧情', '喜剧']",9.2,682879,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.webp,https://movie.douban.com/subject/6786002/
16,寻子遇仙记,"['查理·卓别林', '卡尔·米勒', '艾德娜·珀薇安丝', '杰基·库根', '艾伯特·奥斯汀', 'Nellie Bly Baker', '亨利·伯格曼', 'Edward Biby', 'B.F. Blinn', 'Kitty Bradbury', '弗兰克·坎皮沃', 'Bliss Chevalier', 'Robert Dunbar', '丽泰·格雷', 'Jules Hanft', 'Kathleen Kay', 'Raymond Lee', 'Clyde McAtee', 'Lew Parker', '艾斯特·罗尔斯顿', 'Granville Redmond', '查尔斯·赖斯纳', 'Edgar Sherrod', 'Arthur Thalasso', 'S.D. Wilcox', '汤姆·威尔森']",1921-02-06,['美国'],"['剧情', '喜剧', '家庭']",9.2,24026,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2506524685.webp,https://movie.douban.com/subject/1293270/
17,你逃我也逃,"['卡洛·朗白', '杰克·本尼', '罗伯特·斯塔克', '菲利克斯·布雷萨特', '莱昂内尔·阿特威尔', 'Adolf E. Licho', 'George Lynn', '奥拉夫·许滕', '约翰·凯洛格', 'Hans Schumm', 'Charles Irwin', '西戈·鲁曼', '拉斯·鲍威尔', 'Wolfgang Zilzer', ""Armand 'Curly' Wright"", 'Henry Victor', '罗兰德·瓦尔诺', 'Ernö Verebes', 'Otto Reichow', 'Gene Rizzi', '哈利韦尔·霍布斯', '查尔斯·霍尔顿', '迈尔斯·曼德', 'John Meredith', 'Maurice Murphy', '赫尔穆特·丹丁', '斯坦利·里吉斯', '弗兰克·雷歇尔', '鲁道夫·安德斯', '莱兰·霍奇森', 'Maude Eburne', '汤姆·杜根', 'James Finlayson', 'Leslie Denison', 'Alec Craig', 'Sven Hugo Borg']",1942-03-06,['美国'],"['喜剧', '战争']",9.2,21178,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1339915772.webp,https://movie.douban.com/subject/1303418/
18,马戏团,"['阿尔·欧内斯特·加西亚', '梅尔纳·肯尼迪', '哈里·克罗克', 'George Davis', '亨利·伯格曼', '蒂尼·桑福德', '约翰兰德', '查理·卓别林', '艾伯特·奥斯汀', '斯坦利·布莱斯通', '海尼·康克林', 'Toraichi Kono', '贝蒂莫里西', ""L.J. O'Connor"", '杰克 P. 皮尔斯', 'Hugh Saxon', 'Armand Triller', '吉恩·巴瑞', '乔治·W·戴维斯']",1928-01-06,['美国'],"['喜剧', '爱情']",9.2,11164,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1959764913.webp,https://movie.douban.com/subject/1299628/
19,狐妖小红娘剧场版：王权富贵,"['杨天翔', '刘校妤', '乔诗语', '魏超', '阎萌萌', '张凯', '范哲琛']",2016-05-20,['中国大陆'],"['剧情', '喜剧', '爱情']",9.2,6136,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409467410.webp,https://movie.douban.com/subject/26946612/
20,欢乐树的朋友们：第二发球,"['沃伦·格拉夫', 'Rhode Montijo', '凯恩·纳瓦罗']",2003,['美国'],"['喜剧', '动画']",9.2,4281,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559163201.webp,https://movie.douban.com/subject/1393471/
21,欢乐树的朋友们：第三击,"['Liz Stuart', 'Ken Pontac', '凯恩·纳瓦罗', '沃伦·格拉夫', 'Rhode Montijo']",2004-08-01,['美国'],"['喜剧', '动画']",9.2,3478,https://img3.doubanio.com/view/subject/l/public/s1806711.jpg,https://movie.douban.com/subject/1393472/
22,怦然心动,"['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼', '佩内洛普·安·米勒', '艾丹·奎因', '凯文·韦斯曼', '摩根·莉莉', '瑞安·克茨纳', '吉莉安·普法夫', '迈克尔·博萨', '博·勒纳', '杰奎琳·埃沃拉', '泰勒·格鲁秀斯', '艾莉·布莱恩特', '阿什莉·泰勒', '伊瑟尔·布罗萨德', '科迪·霍恩', '迈克尔·博尔顿', '肖恩·哈珀', '斯戴芬妮·斯考特', '帕特丽夏·伦茨', '马修·戈尔德', '阿罗拉·凯瑟琳·史密斯', '凯莉·唐纳利', '索菲亚·撒高', '米歇尔·梅斯默', 'Scott Joel Gizicki', 'Rod Myers', 'Kara Pacitto', 'Katelyn Pacitto']",2010-07-26,['美国'],"['剧情', '喜剧', '爱情']",9.1,1208684,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.webp,https://movie.douban.com/subject/3319755/
